ID;title;description;content;item_from;item_type;item_source;permalink;tags;"ClassificaÁ„o da Obra";;"Tipo de Materia";"Ano de PublicaÁ„o";Autor;Ilustrador;Tradutor;EdiÁ„o;Editora;"SÈrie (ColeÁ„o)";"Local de PublicaÁ„o";ISBN/ISSN;"N˙mero de P·ginas";Resenha;Volume;PremiaÁ„o;Files
141;"Miss„o : assustar a irm„";;;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=141;;;;;;;;;;"Melhorament os";;;"85-06-03783-
2";;;;;
3493;"Valores: sustentabilidade e vida";"Autor: Chalita, Gabriel Ilustra Cartoon Tasso, Luciano Girotto, Ricardo Ano:  2015,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3493;;;;;;;;;;FTD,;;;"978-85-20-
00326-8";||||;;;;;
3494;"O menino que entregava leite";"Autor: RennÛ, Regina Ano:  2015,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3494;;;;;;;;;;FTD,;;;"978-85-20-
00094-6";;;;;;
3495;"Pescadores de lobisomem";"Autor: Chamlian, Regina Alexandrino, Helena Ano:  2002,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3495;;;;;;;;;;√Åtica.;;;"85-08-08163-
4";|||;;;;;
3496;I;"Autor: Izecson, Lidia Johnson, Mariana Ruiz Ano:  2015,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3496;;;;;;;;;;Gaivota,;;;"978-85-
64816-61-9";;;;;;
3497;I;"Autor: Bee, William Passarelli, Paula Ano:  2015,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3497;;;;;;;;;;"Martins Fontes,";;;"978-85-8063-
174-6";;;;;;
3498;"PÈ de ponte";"Autor: Paterno, SemÌramis Nery Ano:  2015,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3498;;;;;;;;;;Compor,;;;"978-85-8349-
005-0";||||;;;;;
3499;"Cartas lunares";"Autor: Oliveira, Rui de Ano:  2015,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3499;;;;;;;;;;"Companhia das Letrinhas,";;;"978-85-7406-
687-5";;;;;;
3500;"Camil„o, o comil„o e outras histÛrias";"Autor: Machado, Ana Maria, Linhares, Alberto, Ano:  1977,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3500;;;;;;;;;;"Abril Cultural";;;;||||;;;;;
3501;"CoraÁ„o do lado esquerdo: ecologia do sentimento";"Autor: Bloch, Pedro, Guilherme Filho, SÈrgio, Ano:  1999,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3501;;;;;;;;;;"Editora do Brasil";;;"85-10-02399-
9";;;;;;
3502;"Contos desenhados";"Autor: Per Gustavsson Werner, Boel Svensson, Margareta, Ano:  2000,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3502;;;;;;;;;;Callis;;;"85-7416-102-
0";||||;;;;;
3503;"Tesoura n„o È cenoura";"Autor: FranÁa, Mary, FranÁa, Eliardo Ano:  1992,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3503;;;;;;;;;;√Åtica;;;"85-08-03794-
5";;;;;;
3504;"Que perigo!";"Autor: FranÁa, Mary, FranÁa, Eliardo, Ano:  2001,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3504;;;;;;;;;"4. ed.";√Åtica;;;"85-08-04428-
3";||;;;;;
3505;"A vida oculta de Fernando Pessoa";"Autor: Morgado, AndrÈ F. Leoni, Alexandre Ano:  2015,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3505;;;;;;;;;;SESI-SP,;;;"978-85-8205-
692-9";|;;;;;
3506;"Jo„o sonhador e luz, a menina das nuvens";"Autor: Machado, Cl·udio Silvino, Laerte Ano:  2015,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3506;;;;;;;;;;SESI-SP,;;;"978-85-8205-
400-0";;;;;;
3507;I;"Autor: Tufano, Douglas Santiago, Weberson Ano:  2015,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3507;;;;;;;;;;Moderna,;;;"978-85-16-
10189-3";|||;;;;;
3508;Pogando;"Autor: Psonha Ano:  2015,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3508;;;;;;;;;;SESI-SP,;;;"978-85-8205-
685-1";;;;;;
3509;"A viagem de um barquinho";"Autor: Orthof, Sylvia Paiva, Tatiana Ano:  2015,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3509;;;;;;;;;;FTD,;;;"978-85-20-
00096-0";;;;;;
3510;"O estranho caso da massinha fedorenta";"Autor: Prieto, Heloisa Fernandes, Adriana Ano:  2015,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3510;;;;;;;;;;"Companhia das Letrinhas,";;;"978-85-7406-
648-6";|||;;;;;
3511;"O minotauro";"Autor: Lobato, Monteiro, Victor filho, Manoel Ano:  1994,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3511;;;;;;;;;;Brasiliense;;;"85-11-19015-
5";;;;;;
3512;"O segredo da rainha";"Autor: Faria, EdmÈia, Haddad, Mari‚ngela, Ano:  1998,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3512;;;;;;;;;"4. ed.";L√™;;;"85-329-0050- X";;;;;;
3513;"Os vizinhos: uma histÛria de Pingo-de-Fogo";"Autor: FranÁa, Mary, FranÁa, Eliardo, Ano:  1993,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3513;;;;;;;;;;√Åtica;;;"85-08-04480-
1";|||;;;;;
3514;"Bruxa Onilda vai a Nova Iorque";"Autor: Larreula, E., Capdevila, R. Stahel, Monica Ano:  2000,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3514;;;;;;;;;"4. ed.";Scipione;;;"85-262-2023-
3";;;;;;
3515;"A Excalibur de Artur : a lenda do rei Artur e de Excalibur, a espada m·gica";"Autor: Lukesch, Angelika Ghiuselev, Iassen Calado, Ivanir Ano:  1995,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3515;;;;;;;;;;Ediouro,;;;"85-00-53158-
4";;;;;;
3516;"Mula sem cabeÁa: a origem";"Autor: Brenman, Ilan Leray, Marjolaine Ano:  2015,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3516;;;;;;;;;;"Companhia das Letrinhas,";;;"978-85-7406-
681-3";|||;;;;;
3517;I;"Autor: Eckert, AntÙnio Ricardo Ano:  2004,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3517;;;;;;;;;;Kelps;;;;;;;;;
3518;"As sobrinhas da bruxa Onilda e Ali-Bab· e os quarenta ladrıes";"Autor: Company, MercË Capdevila, Roser GonÁalves, Rita E. Garcia Ano:  2000,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3518;;;;;;;;;;Scipione;;;"85-262-3178-
2";;;;;;
3519;"Meninos, eu vi!";"Autor: Martins, Cl·udio, Ano:  1998,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3519;;;;;;;;;;"Formato Editorial";;;"85-7208-188-
7";|||;;;;;
3520;"O le„o e o rato";"Autor: Laurito, Ilka Brunhilde, Borges, RogÈrio Ano:  2004,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3520;;;;;;;;;;"Melhorament os";;;"85-06-03897-
9";;;;;;
3521;"Fernado pessoa na sala de aula ; poesia";"Autor: Tufano, Douglas Santiago, Weberson Ano:  2015,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3521;;;;;;;;;;Moderna,;;;"978-85-16-
10190-9";;;;;;
3522;I;"Autor: Barrenetxea, Iban Ano:  2015,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3522;;;;;;;;;;"Companhia das Letrinhas,";;;"978-85-7406-
667-7";|||;;;;;
3523;"Isso È meu!";"Autor: Franco, Blandina Lollo, JosÈ Carlos Ano:  2015,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3523;;;;;;;;;;"Companhia das Letrinhas,";;;"978-85-7406-
663-9";;;;;;
3524;"Aventuras na amazÙnia: uma brilhante aventura biolÛgica";"Autor: Green, Dan Almenara, Daniela Peres Ano:  2015,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3524;;;;;;;;;;Moderna,;;;"978-85-16-
09671-7";;;;;;
3525;"Pra l· e pra c·";"Autor:  Ano:  2015,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3525;;;;;;;;;;Caramelo,;;;"978-85-7340-
707-5";||;;;;;
3526;"O gatinho Mi";"Autor: Cordeiro, JosÈ Carlos, Martins, Glen Ano:  1983,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3526;;;;;;;;;;"Salesiana Dom Bosco,";;;;||;;;;;
3527;"O natal e a lenda do AnambÈ-Azul";"Autor: Lago, Auxiliadora de Carvalho e,
Oliveira, Rui de, Ano:  1999,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3527;;;;;;;;;;Paulinas;;;"85-356-
00368-9";|;;;;;
3528;"A galinha choca";"Autor: FranÁa, Mary, FranÁa, Eliardo Ano:  2002,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3528;;;;;;;;;"10. ed.";√Åtica,;;;"85-08-02408-
8";;;;;;
3529;"Viagem ao reino das sombras";"Autor: Galdino, Luiz, Cruz, Nelson, Ano:  2004,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3529;;;;;;;;;;FTD;;;"85-322-3906-
4";||;;;;;
3530;"O pote de melado";"Autor: FranÁa, Mary FranÁa, Eliardo Ano:  1991,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3530;;;;;;;;;"13. ed.";√Åtica,;;;"85-08-01151-
2";||;;;;;
3531;"Sacici siriri sici";"Autor: Galdino, Luiz Miadaira Ano:  2001,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3531;;;;;;;;;;"Nova Alexandria,";;;"85-7492-022-
3";||;;;;;
3532;"A cabra do seu Joaquim";"Autor: Lesseps, EmmanulË de, Davot, FranÁois, Silva, Irami B.
Nahum, Erdna Perugine, Ano:  1999,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3532;;;;;;;;;"6. ed";Scipione;;;"85-262-1658-
9";||;;;;;
3533;"A m·gica";"Autor: FranÁa, Mary, FranÁa, Eliardo, Ano:  1996,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3533;;;;;;;;;;√Åtica,;;;"85-08-05908-
6";||;;;;;
3534;"Que confus„o!";"Autor: FranÁa, Mary, FranÁa, Eliardo, Ano:  2000,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3534;;;;;;;;;;√Åtica,;;;"85-08-07442-
5";||;;;;;
3535;Zebrinha;"Autor: Fronsacq, Anne, Franquin, GÈrard, Almeida, L˙cia Machado, Ano:  1984,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3535;;;;;;;;;"3. ed.";√Åtica;;;;||;;;;;
3536;"O artista";"Autor: FranÁa, Mary, FranÁa, Eliardo, Ano:  2000,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3536;;;;;;;;;;√Åtica,;;;"85-08-07441-
7";||;;;;;
3537;"Tantos medos e outras coragens";"Autor: Murray, Roseana, Lins, Guto, Ano:  1994,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3537;;;;;;;;;"2. ed.";FTD;;;;||;;;;;
3538;"O traÁo e a traÁa";"Autor: Murray, Roseana, Guidacci Ano:  1984,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3538;;;;;;;;;"2. ed.";"Mem√≥rias Futuras";;;;||;;;;;
3539;"O anivers·rio";"Autor: FranÁa, Mary, FranÁa, Eliardo, Ano:  1992,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3539;;;;;;;;;;√Åtica,;;;"85-08-04027- X";||;;;;;
3540;"Bu·... bu·... O que ser·?";"Autor: FranÁa, Mary, FranÁa, Eliardo, Ano:  1997,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3540;;;;;;;;;"5. ed.";√Åtica,;;;"85-08-03796-
1";||;;;;;
3541;"O tio Willibrord";"Autor: Teurlouw, Jan Shubert, Ingrid Shubert, Dieter Lage, TarcÌsio Ano:  1998,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3541;;;;;;;;;"2. ed.";√Åtica;;;"85-08-04690
1";||;;;;;
3542;"""E eu com isso?!"" : aprendendo sobre respeito";"Autor: Moses, Brian, Gordon, Mike Nogueira, Neide Ano:  2001,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3542;;;;;;;;;;Scipione;;;"85-262-3605-
9";||;;;;;
3543;"Que mistÈrio!";"Autor: FranÁa, Mary, FranÁa, Eliardo, Ano:  1993,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3543;;;;;;;;;"2. ed.";√Åtica,;;;"85-08-03797- X";||;;;;;
3544;"Arca de NoÈ e outras histÛrias";"Autor: Lessa, OrÌgenes, Ano:  1995,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3544;;;;;;;;;;Global;;;"85-260-0481-
6";||;;;;;
3545;"Era uma vez uma bruxa";"Autor: Zatz, Lia.
Borges, RogÈrio Ano:  1998,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3545;;;;;;;;;;Moderna;;;"85-16-01915-
2";||;;;;;
3546;"Arquivos, patrimÙnio e memÛria: trajetÛrias e perspectivas./";"Autor: Silva, ZÈlia Lopes da Ano:  1999,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3546;;;;;;;;;;"UNESP: FAPESP,";;;"9788571392
687";||;;;;;
3547;"Alguns contos e f·bulas: contos de La Fontaine";"Autor: La Fontaine, Drummond, Regina, Soares Ano:  2000,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3547;;;;;;;;;;Paulus,;;;;||;;;;;
3548;"A banana";"Autor: FranÁa, Mary, FranÁa, Eliardo, Ano:  1998,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3548;;;;;;;;;;√Åtica,;;;"85-08-06931-
6";||;;;;;
3549;"Qualquer coisa";"Autor: Martinez, Marina Quintanilha, Zigg, Ivan, Ano:  1990,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3549;;;;;;;;;;"Melhorament os";;;;||;;;;;
3550;"O menino que quebrou o tempo";"Autor: Monteiro, JosÈ Maviael, Raquel, Ana, Ano:  2002,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3550;;;;;;;;;"7. ed.";Scipione;;;"85-262-1548-
5";||;;;;;
3551;"Rita, n„o grita!";"Autor: Muniz, Fl·via, Ono, Walter, Ano:  [2002?],";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3551;;;;;;;;;"28. ed.";"Melhorament os";;;"85-06-00937-
5";||;;;;;
3552;"Grandes filÛsofos falam a pequenos filÛsofos";"Autor: Boizard, Sophie Audouin, Laurent Jahn, Heloisa Ano:  2015,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3552;;;;;;;;;;FTD,;;;"978-85-96-
00082-6";||;;;;;
3553;"Sangue ossos e pedacinhos: Nick Arnold ;";"Autor: Arnold, Nick Saulles, Tony de
Vilela, Antonio Carlos Ano:  1996,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3553;;;;;;;;;;"Melhorament os,";;;"978-85-06-
02601-6";||;;;;;
3554;"Tem gente que jura viu...";"Autor: Moreira, JosÈ Ricardo, Veneza, MaurÌcio, Ano:  2001,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3554;;;;;;;;;;"Nova Did√°tica";;;"85-7472-178-
6";||;;;;;
3555;"Espantosos egÌpcios";"Autor: Deary,Terry Hepplewhite, Peter Vilela, Antonio Carlos Brown, Martin Ano:  1994,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3555;;;;;;;;;;"Melhorament os,";;;"978-85-06-
02602-4";||;;;;;
3556;"BebÍ chor„o tambÈm tem opini„o";"Autor: Silva, Fl·via Lins e, Haddad, Mari‚ngela, Ano:  2001,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3556;;;;;;;;;;Global;;;"85-260-0656-
8";|;;;;;
3557;"Por uma quest„o de saudade";"Autor: Martinez, Marina, Machado, Juarez, Ano:  1991,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3557;;;;;;;;;"4. ed.";"Nova Fronteira";;;;;;;;;
3558;"MoÌko: o menino que meditava";"Autor: Melo, Ricardo, Ano:  2001,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3558;;;;;;;;;;RHJ;;;"85-71-53-
146-3";||;;;;;
3559;"Wilson e o passagarto";"Autor: Meddaugh, Susan, Aquino, Gilda, Ano:  2004,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3559;;;;;;;;;;"Brinque- Book";;;"84-7412-123-
1";||;;;;;
3560;"Meu vÙ Apolin·rio: um mergulho no rio da (minha) memÛria";"Autor: Munduruku, Daniel, Borges, RogÈrio, Ano:  2001,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3560;;;;;;;;;;"Studio Nobel";;;"85-85445-95-
5";||;;;;;
3561;"O feitiÁo da Vila";"Autor: Martins, Cl·udio, Ano:  1997,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3561;;;;;;;;;;Dimens√£o;;;"85-7319-223-
2";||;;;;;
3562;"E se o mundo cair?";"Autor: Martins, Cl·udio, Ano:  1997,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3562;;;;;;;;;;Dimens√£o;;;"85-7319-222-
4";||;;;;;
3563;"As flores do mar";"Autor: Moura, AndrÈ, Muniz, F·bio, Bordoni, Eduardo, Ano:  2002,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3563;;;;;;;;;;"Nova Did√°tica";;;"85-7472-185-
9";||;;;;;
3564;"Que atleta";"Autor: Morrone, Ivonilde Faria, Malheiros, Iracema, Ano:  1994,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3564;;;;;;;;;;Dimens√£o;;;;||;;;;;
3565;"Corrida maluca";"Autor: Morrone, Ivonilde Faria, Malheiros, Iracema, Ano:  1994,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3565;;;;;;;;;;Dimens√£o;;;;||;;;;;
3566;"Entre o cÈu e a terra";;;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3566;;;;;;;;;;N√≥rdica;;;"85-7007-257-
0";||;;;;;
3567;"Qual o tamanho do seu chinelinho?";"Autor: Martins, Marilene, Longobardi, Nireuda, Ano:  2003,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3567;;;;;;;;;;"Noovha Am√©rica";;;"85-86114-24-
3";||;;;;;
3568;"Mula sem cabeÁa e outras histÛrias";"Autor: Orthof, Mula, Alcy Ano:  1993,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3568;;;;;;;;;;"Livros do Tatu";;;;||;;;;;
3569;"Bichos da praia";"Autor: Caruso, Carla, Ano:  2004,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3569;;;;;;;;;;Dimens√£o;;;"85-7319-449-
9";||;;;;;
3570;"Brincando de amor";"Autor: Laurito, Ilka Brunhilde, Schuravel, May, Ano:  1994,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3570;;;;;;;;;;Moderna;;;"85-16-01030-
9";||;;;;;
3571;"O cachorro e o burro";"Autor: Laurito, Ilka Brunhilde, Borges, RogÈrio Ano:  2004,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3571;;;;;;;;;;"Melhorament os";;;"85-06-03896-
0";||;;;;;
3572;"O menino das chuvas";"Autor: Montoro, Suzana, Marassani, Suzana, Ano:  1994,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3572;;;;;;;;;;"Studio Nobel";;;"85-85445-29-
7";||;;;;;
3573;"A centopÈia que sonhava";"Autor: Souza, Herbert de, Salgueiro, Bia, Ano:  1995,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3573;;;;;;;;;"2. ed.";Moderna;;;"85-16-01183-
6";||;;;;;
3574;"A festa do quaqu·: uma histÛria contada e cantada.";"Autor: Goulart, Alcides Schreiner, Martina Ano:  2015,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3574;;;;;;;;;;Jovem;;;"978-85-
99987-54-4";||;;;;;
3575;"Rios arrasadores";"Autor: Ganeri, Anita Phillips, Mike
Mour„o Netto, Maria Silvia Ano:  2000,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3575;;;;;;;;;;"Melhorament os,";;;"978-85-06-
03709-3";||;;;;;
3576;Uniforme;"Autor: Freitas, Tino Moriconi, Renato Ano:  2015,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3576;;;;;;;;;;"Edi√ß√µes de Janeiro";;;"978-85-
67854-43-4";||;;;;;
3577;"Os elefantes";"Autor: Souza, Angela Leite, Ano:  1995,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3577;;;;;;;;;;Scipione;;;"85-262-2541-
3";||;;;;;
3578;"O astronauta de pijama";"Autor: FlÙor, Samanta Ano:  2015,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3578;;;;;;;;;;"Jupati Books";;;"978-85-
68156-16-2";||;;;;;
3579;"Eu, vocÍ e tudo que existe: f·bula ecolÛgica";"Autor: Iacocca, Liliana, Franco, Siron, Ano:  2000,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3579;;;;;;;;;"10. ed.";√Åtica;;;"85-08-04006-
7";||;;;;;
3580;"A galinha dos ovos de cristal";"Autor: Barriga, Heliana, Ramos, Maria de Lourdes, Ano:  1989,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3580;;;;;;;;;;RHJ;;;;||;;;;;
3581;"A bela adormecida";;;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3581;;;;;;;;;;Moderna;;;"85-16-01850-
4";||;;;;;
3582;"DoenÁas mortais";"Autor: Arnold, Nick Saulles, Tony de
Vilela, Antonio Carlos Ano:  2003,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3582;;;;;;;;;;"Melhorament os,";;;"978-85-06-
03993-2";||;;;;;
3583;"Digest„o nojenta";"Autor: Arnold, Nick Saulles, Tony de
Mour„o Neto, Maria Silvia Ano:  2002,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3583;;;;;;;;;;"Melhorament os,";;;"978-85-06-
03727-1";||;;;;;
3584;"Terra sem males";"Autor: Galdino, Luis, Moreira, Marcelo, Ano:  1985,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3584;;;;;;;;;;L√™;;;;||;;;;;
3585;"Terra dos homens";"Autor: Saint-ExupÈry, Antoine de Braga, Rubem Ano:  2015,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3585;;;;;;;;;"32. ed.";"Nova Fronteira";;;"978-85-209-
4029-7";||;;;;;
3586;"Correio Sul";"Autor: Saint-ExupÈry, Antoine de Santos, Pierre Ano:  2015,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3586;;;;;;;;;"13. ed.";"Nova Fronteira";;;"978-85-209-
4030-3";||;;;;;
3587;"O andarilho e o rei";"Autor: Castro, LÌdice de Souza, Shirley Ano:  2002,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3587;;;;;;;;;;Peir√≥polis,;;;"85-85663-69-
3";||;;;;;
3588;"TerrÌveis romanos";"Autor: Deary, Terry Brown, Martin
Vilela, AntÙnio Carlos Ano:  2002,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3588;;;;;;;;;;"Melhorament os,";;;"978-85-06-
03467-1";||;;;;;
3589;"Bichos nojentos";"Autor: Arnold, Nick Saulles, Tony de
Vilela, AntÙnio Carlos Ano:  2002,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3589;;;;;;;;;;"Melhorament os,";;;"978-85-06-
03466-3";||;;;;;
3590;"IncrÌveis incas";"Autor: Deary, Terry Reeve, Philip
Vilela, AntÙnio Carlos Ano:  2002,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3590;;;;;;;;;;"Melhorament os,";;;"978-85-06-
03590-2";||;;;;;
3591;"A Sumaumeira";"Autor: Matuck, Rubens, Alcy Ano:  1992,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3591;;;;;;;;;;√Åtica;;;;||;;;;;
3592;"As aventuras do bonequinho do banheiro";"Autor: Ziraldo Ano:  2000,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3592;;;;;;;;;"2. ed.";"Melhorament os";;;"85-06-03212-
1";||;;;;;
3593;"O primeiro amor do vagaluminho";"Autor: Gouveia, Ricardo, Cardim, Wanda Ano:  [199-?],";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3593;;;;;;;;;"3. ed.";"Editora do Brasil";;;;||;;;;;
3594;Cobra-cega;"Autor: Guedes, Avelino, Ano:  1990,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3594;;;;;;;;;"4. ed.";Moderna;;;"85-16-00354-
0";||;;;;;
3595;"Luciana saudade";"Autor: Cony, Carlos Heitor Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3595;;;;;;;;;"18. ed.";"Nova Fronteira";;;"978-85-20-
93790-7";||;;;;;
3596;"A volta por cima";"Autor: Cony, Carlos Heitor Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3596;;;;;;;;;"6. ed.";"Nova Fronteira";;;"978-85-20-
9375-5";||;;;;;
3597;"Eu, Lili e o resto do mundo";"Autor: Maxeiner, Alexandra Badstuber, Martina Gn‰dinger, Hedi Ano:  2015,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3597;;;;;;;;;;Escarlate;;;"978-85-8382-
023-9";||;;;;;
3598;"1, 2, 3, com Peppa";"Autor: Baker, Mark Astley, Neville Bueno, Lenice Ano:  2015,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3598;;;;;;;;;;Salamandra;;;"978-85-16-
09824-7";||;;;;;
3599;"ABC com Peppa";"Autor: Baker, Mark Astley, Neville Bueno, Lenice Ano:  2015,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3599;;;;;;;;;;Salamandra;;;"978-85-16-
09825-4";||;;;;;
3600;"Desenhos de um garoto solit·rio";"Autor: Junio, Naldo Ano:  2015,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3600;;;;;;;;;;"Farol Liter√°rio";;;"978-85-8277-
092-4";||;;;;;
3601;"No fim do arco-Ìris";"Autor: Murray, Roseana, Alves, CaÛ Cruz, Ano:  1998,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=3601;;;;;;;;;;"Jos√© Olympio";;;"85-03-00631-
6";||;;;;;
